Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
115.700E+0	-132.000E+0	24.7971E-9	30.4367E+3	115.700E+0	29.8147E-9
115.650E+0	-132.000E+0	24.6165E-9	31.5233E+3	115.650E+0	29.6004E-9
115.600E+0	-132.000E+0	24.7846E-9	32.1633E+3	115.600E+0	29.8044E-9
115.550E+0	-132.000E+0	24.6487E-9	29.0200E+3	115.550E+0	29.6382E-9
115.500E+0	-132.000E+0	24.7582E-9	29.4333E+3	115.500E+0	29.7680E-9
115.450E+0	-132.000E+0	24.7872E-9	28.6567E+3	115.450E+0	29.8005E-9
115.400E+0	-132.000E+0	24.7512E-9	28.7833E+3	115.400E+0	29.7609E-9
115.350E+0	-132.000E+0	24.6700E-9	31.1167E+3	115.350E+0	29.6619E-9
115.300E+0	-132.000E+0	24.6287E-9	28.6100E+3	115.300E+0	29.6118E-9
115.250E+0	-132.000E+0	24.8025E-9	29.4667E+3	115.250E+0	29.8195E-9
115.200E+0	-132.000E+0	24.7010E-9	27.9400E+3	115.200E+0	29.7016E-9
115.150E+0	-132.000E+0	24.7999E-9	28.0400E+3	115.150E+0	29.8173E-9
115.100E+0	-132.000E+0	24.7516E-9	26.2133E+3	115.100E+0	29.7639E-9
115.050E+0	-132.000E+0	24.7864E-9	27.2567E+3	115.050E+0	29.8012E-9
115.000E+0	-132.000E+0	24.7382E-9	26.5200E+3	115.000E+0	29.7483E-9
114.950E+0	-132.000E+0	24.7925E-9	25.1967E+3	114.950E+0	29.8108E-9
114.900E+0	-132.000E+0	24.6539E-9	26.5133E+3	114.900E+0	29.6441E-9
114.850E+0	-132.000E+0	24.7853E-9	24.8700E+3	114.850E+0	29.7999E-9
114.800E+0	-132.000E+0	24.6620E-9	23.9567E+3	114.800E+0	29.6471E-9
114.750E+0	-132.000E+0	24.7022E-9	22.7967E+3	114.750E+0	29.6988E-9
114.700E+0	-132.000E+0	24.7497E-9	22.7700E+3	114.700E+0	29.7580E-9
114.650E+0	-132.000E+0	24.7990E-9	23.5367E+3	114.650E+0	29.8169E-9
114.600E+0	-132.000E+0	24.7419E-9	22.3767E+3	114.600E+0	29.7504E-9
114.550E+0	-132.000E+0	24.7565E-9	24.9133E+3	114.550E+0	29.7675E-9
114.500E+0	-132.000E+0	24.6802E-9	22.4100E+3	114.500E+0	29.6731E-9
114.450E+0	-132.000E+0	24.8023E-9	21.8767E+3	114.450E+0	29.8206E-9
114.400E+0	-132.000E+0	24.7187E-9	20.9533E+3	114.400E+0	29.7228E-9
114.350E+0	-132.000E+0	24.7271E-9	22.6333E+3	114.350E+0	29.7275E-9
114.300E+0	-132.000E+0	24.7958E-9	22.3433E+3	114.300E+0	29.8149E-9
114.250E+0	-132.000E+0	24.6476E-9	19.8567E+3	114.250E+0	29.6376E-9
114.200E+0	-132.000E+0	24.5897E-9	20.9267E+3	114.200E+0	29.5659E-9
114.150E+0	-132.000E+0	24.6231E-9	19.1900E+3	114.150E+0	29.6069E-9
114.100E+0	-132.000E+0	24.7930E-9	19.5200E+3	114.100E+0	29.8146E-9
114.050E+0	-132.000E+0	24.7968E-9	19.9433E+3	114.050E+0	29.8153E-9
114.000E+0	-132.000E+0	24.7271E-9	19.4467E+3	114.000E+0	29.7314E-9
113.950E+0	-132.000E+0	24.7035E-9	18.5667E+3	113.950E+0	29.6998E-9
113.900E+0	-132.000E+0	24.6820E-9	18.5767E+3	113.900E+0	29.6781E-9
